k,period_N0_over_k,divisor_count_tau,prime_factorization,factor_pairs,eta_like_weight_lambda_0_015,resonance_score,scale_label
25,761.720000000000,3,5*5,1x25; 5x5,1.537764850923e+00,24.804848625317,empire / cultural-memory scale
26,732.423076923077,4,2*13,1x26; 2x13,1.465493029618e+00,32.503451279565,empire / cultural-memory scale
27,705.296296296296,4,3*3*3,1x27; 3x9,1.492317031226e+00,33.219640208955,empire / cultural-memory scale
28,680.107142857143,6,2*2*7,1x28; 2x14; 4x7,2.281786232233e+00,66.304470568221,empire / cultural-memory scale
29,656.655172413793,2,29,1x29,6.376281516218e-01,11.139793162864,empire / cultural-memory scale
30,634.766666666667,8,2*3*5,1x30; 2x15; 3x10; 5x6,3.073779965295e+00,111.914466197678,empire / cultural-memory scale
31,614.290322580645,2,31,1x31,6.187833918061e-01,11.220551439677,empire / cultural-memory scale
32,595.093750000000,6,2*2*2*2*2,1x32; 2x16; 4x8,2.208220613044e+00,67.305405794175,dynastic / historical wave scale
33,577.060606060606,4,3*11,1x33; 3x11,1.411079824782e+00,34.009346863245,dynastic / historical wave scale
34,560.088235294118,4,2*17,1x34; 2x17,1.343569618686e+00,33.328822803046,dynastic / historical wave scale
35,544.085714285714,4,5*7,1x35; 5x7,1.418018463785e+00,34.660059834044,dynastic / historical wave scale
36,528.972222222222,9,2*2*3*3,1x36; 2x18; 3x12; 4x9; 6x6,3.771511570105e+00,155.065829389926,dynastic / historical wave scale
37,514.675675675676,2,37,1x37,5.655254386995e-01,11.389467337026,dynastic / historical wave scale
38,501.131578947368,4,2*19,1x38; 2x19,1.286894736081e+00,33.512719375372,dynastic / historical wave scale
39,488.282051282051,4,3*13,1x39; 3x13,1.335439497161e+00,34.460619109607,dynastic / historical wave scale
40,476.075000000000,8,2*2*2*5,1x40; 2x20; 4x10; 5x8,2.892983532767e+00,115.654999227400,dynastic / historical wave scale
41,464.463414634146,2,41,1x41,5.325918010069e-01,11.456643623707,dynastic / historical wave scale
42,453.404761904762,8,2*3*7,1x42; 2x21; 3x14; 6x7,2.830634051591e+00,115.262249904205,dynastic / historical wave scale
43,442.860465116279,2,43,1x43,5.168513344917e-01,11.480106192357,dynastic / historical wave scale
44,432.795454545455,6,2*2*11,1x44; 2x22; 4x11,2.005348965438e+00,68.642095052416,dynastic / historical wave scale
45,423.177777777778,6,3*3*5,1x45; 3x15; 5x9,2.075539809373e+00,70.650834184296,dynastic / historical wave scale
46,413.978260869565,4,2*23,1x46; 2x23,1.181397853047e+00,33.594814849139,dynastic / historical wave scale
47,405.170212765957,2,47,1x47,4.867522559600e-01,11.511033672484,dynastic / historical wave scale
48,396.729166666667,10,2*2*2*2*3,1x48; 2x24; 3x16; 4x12; 6x8,3.505788694829e+00,175.357199015336,dynastic / historical wave scale
49,388.632653061225,3,7*7,1x49; 7x7,1.282950798711e+00,26.792868134456,dynastic / historical wave scale
50,380.860000000000,6,2*5*5,1x50; 2x25; 5x10,1.930826960592e+00,69.141003412415,dynastic / historical wave scale
51,373.392156862745,4,3*17,1x51; 3x17,1.199224231987e+00,34.758683729562,dynastic / historical wave scale
52,366.211538461538,6,2*2*13,1x52; 2x26; 4x13,1.883544552699e+00,68.691081719682,dynastic / historical wave scale
53,359.301886792453,2,53,1x53,4.448580662229e-01,11.527031551426,dynastic / historical wave scale
54,352.648148148148,8,2*3*3*3,1x54; 2x27; 3x18; 6x9,2.613804752571e+00,115.853757679442,dynastic / historical wave scale
55,346.236363636364,4,5*11,1x55; 5x11,1.218338384496e+00,35.718368666609,dynastic / historical wave scale
56,340.053571428571,8,2*2*2*7,1x56; 2x28; 4x14; 7x8,2.624807055800e+00,117.242246100871,dynastic / historical wave scale
57,334.087719298246,4,3*19,1x57; 3x19,1.137875282680e+00,34.722882995905,dynastic / historical wave scale
58,328.327586206897,4,2*29,1x58; 2x29,1.040849278469e+00,33.286557401296,dynastic / historical wave scale
59,322.762711864407,2,59,1x59,4.065696597406e-01,11.517961675491,dynastic / historical wave scale
60,317.383333333333,12,2*2*3*5,1x60; 2x30; 3x20; 4x15; 5x12; 6x10,4.041078984712e+00,248.678878145820,dynastic / historical wave scale
61,312.180327868852,2,61,1x61,3.945537103716e-01,11.511021139734,dynastic / historical wave scale
62,307.145161290323,4,2*31,1x62; 2x31,9.982504781981e-01,33.116083793004,dynastic / historical wave scale
63,302.269841269841,6,3*3*7,1x63; 3x21; 7x9,1.867197073113e+00,71.546024424161,dynastic / historical wave scale
64,297.546875000000,7,2*2*2*2*2*2,1x64; 2x32; 4x16; 8x8,2.505134014124e+00,102.422507654853,dynastic / historical wave scale
65,292.969230769231,4,5*13,1x65; 5x13,1.134956185359e+00,35.778917224030,dynastic / historical wave scale
66,288.530303030303,8,2*3*11,1x66; 2x33; 3x22; 6x11,2.419805775923e+00,115.033856846188,dynastic / historical wave scale
67,284.223880597015,2,67,1x67,3.605949401731e-01,11.482081667368,dynastic / historical wave scale
68,280.044117647059,6,2*2*17,1x68; 2x34; 4x17,1.667763507568e+00,67.773568920725,dynastic / historical wave scale
69,275.985507246377,4,3*23,1x69; 3x23,1.026994623609e+00,34.446708056255,dynastic / historical wave scale
70,272.042857142857,8,2*5*7,1x70; 2x35; 5x14; 7x10,2.445730868244e+00,117.504381070114,dynastic / historical wave scale
71,268.211267605634,2,71,1x71,3.395955256449e-01,11.458005595422,dynastic / historical wave scale
72,264.486111111111,12,2*2*2*3*3,1x72; 2x36; 3x24; 4x18; 6x12; 8x9,3.824261582236e+00,248.379583824912,dynastic / historical wave scale
73,260.863013698630,2,73,1x73,3.295589610752e-01,11.445016627441,dynastic / historical wave scale
74,257.337837837838,4,2*37,1x74; 2x37,8.817583291705e-01,32.497876874967,dynastic / historical wave scale
75,253.906666666667,6,3*5*5,1x75; 3x25; 5x15,1.717684062313e+00,70.617389862144,dynastic / historical wave scale
76,250.565789473684,6,2*2*19,1x76; 2x38; 4x19,1.572089526465e+00,67.035938583317,dynastic / historical wave scale
77,247.311688311688,4,7*11,1x77; 7x11,1.073746435602e+00,36.138837601219,human lifetime / generational scale
78,244.141025641026,8,2*3*13,1x78; 2x39; 3x26; 6x13,2.245665996205e+00,113.454146535561,human lifetime / generational scale
79,241.050632911392,2,79,1x79,3.011942119122e-01,11.403735386966,human lifetime / generational scale
80,238.037500000000,10,2*2*2*2*5,1x80; 2x40; 4x20; 5x16; 8x10,3.020146509978e+00,176.663294324317,human lifetime / generational scale
81,235.098765432099,5,3*3*3*3,1x81; 3x27; 9x9,1.693300223639e+00,59.343089670866,human lifetime / generational scale
82,232.231707317073,4,2*41,1x82; 2x41,8.126034502374e-01,32.038422926964,human lifetime / generational scale
83,229.433734939759,2,83,1x83,2.836540264998e-01,11.375271649036,human lifetime / generational scale
84,226.702380952381,12,2*2*3*7,1x84; 2x42; 3x28; 4x21; 6x14; 7x12,3.604539161695e+00,245.476340307148,human lifetime / generational scale
85,224.035294117647,4,5*17,1x85; 5x17,9.941945165217e-01,35.531339811488,human lifetime / generational scale
86,221.430232558140,4,2*43,1x86; 2x43,7.803289556531e-01,31.803142147709,human lifetime / generational scale
87,218.885057471264,4,3*29,1x87; 3x29,8.859186937720e-01,33.775572786952,human lifetime / generational scale
88,216.397727272727,8,2*2*2*11,1x88; 2x44; 4x22; 8x11,2.193805373340e+00,114.686647652946,human lifetime / generational scale
89,213.966292134831,2,89,1x89,2.592402606459e-01,11.332683004247,human lifetime / generational scale
90,211.588888888889,12,2*3*3*5,1x90; 2x45; 3x30; 5x18; 6x15; 9x10,3.549083639597e+00,246.243326179384,human lifetime / generational scale
91,209.263736263736,4,7*13,1x91; 7x13,9.923967737415e-01,36.036787889814,human lifetime / generational scale
92,206.989130434783,6,2*2*23,1x92; 2x46; 4x23,1.401562103186e+00,65.311915030053,human lifetime / generational scale
93,204.763440860215,4,3*31,1x93; 3x31,8.446388619657e-01,33.522952466965,human lifetime / generational scale
94,202.585106382979,4,2*47,1x94; 2x47,7.200139221832e-01,31.330926613846,human lifetime / generational scale
95,200.452631578947,4,5*19,1x95; 5x19,9.346040847532e-01,35.320826621797,human lifetime / generational scale
96,198.364583333333,12,2*2*2*2*2*3,1x96; 2x48; 3x32; 4x24; 6x16; 8x12,3.414111054938e+00,242.319387640279,human lifetime / generational scale
97,196.319587628866,2,97,1x97,2.299254851867e-01,11.278336701539,human lifetime / generational scale
98,194.316326530612,6,2*7*7,1x98; 2x49; 7x14,1.421625145920e+00,66.765946665608,human lifetime / generational scale
99,192.353535353535,6,3*3*11,1x99; 3x33; 9x11,1.546696633204e+00,70.367828447928,human lifetime / generational scale
100,190.430000000000,9,2*2*5*5,1x100; 2x50; 4x25; 5x20; 10x10,2.753586362704e+00,155.909280908245,human lifetime / generational scale
101,188.544554455446,2,101,1x101,2.165356673160e-01,11.252888775454,human lifetime / generational scale
102,186.696078431373,8,2*3*17,1x102; 2x51; 3x34; 6x17,1.947185720810e+00,109.275256751467,human lifetime / generational scale
103,184.883495145631,2,103,1x103,2.101360712008e-01,11.240689911615,human lifetime / generational scale
104,183.105769230769,8,2*2*2*13,1x104; 2x52; 4x26; 8x13,2.019282644795e+00,112.412973718355,human lifetime / generational scale
105,181.361904761905,8,3*5*7,1x105; 3x35; 5x21; 7x15,2.165431658364e+00,118.094381962831,human lifetime / generational scale
106,179.650943396226,4,2*53,1x106; 2x53,6.391245473752e-01,30.637393792996,human lifetime / generational scale
107,177.971962616822,2,107,1x107,1.978986990836e-01,11.217437811822,human lifetime / generational scale
108,176.324074074074,12,2*2*3*3*3,1x108; 2x54; 3x36; 4x27; 6x18; 9x12,3.239369062070e+00,238.660260855967,human lifetime / generational scale
109,174.706422018349,2,109,1x109,1.920499086208e-01,11.206414381033,human lifetime / generational scale
110,173.118181818182,8,2*5*11,1x110; 2x55; 5x22; 10x11,2.011239534192e+00,113.452188237295,human lifetime / generational scale
111,171.558558558559,4,3*37,1x111; 3x37,7.351856121334e-01,32.749885409356,human lifetime / generational scale
112,170.026785714286,10,2*2*2*2*7,1x112; 2x56; 4x28; 7x16; 8x14,2.648478256981e+00,172.477716688899,human lifetime / generational scale
113,168.522123893805,2,113,1x113,1.808657926171e-01,11.185629469511,human lifetime / generational scale
114,167.043859649123,8,2*3*19,1x114; 2x57; 3x38; 6x19,1.818817399152e+00,107.000777929814,human lifetime / generational scale
115,165.591304347826,4,5*23,1x115; 5x23,8.325672204321e-01,34.845094254355,human lifetime / generational scale
116,164.163793103448,6,2*2*29,1x116; 2x58; 4x29,1.189047809329e+00,62.547758517665,human lifetime / generational scale
117,162.760683760684,6,3*3*13,1x117; 3x39; 9x13,1.421848523264e+00,69.323253076329,human lifetime / generational scale
118,161.381355932203,4,2*59,1x118; 2x59,5.683136870910e-01,29.980659146180,human lifetime / generational scale
119,160.025210084034,4,7*17,1x119; 7x17,8.629752142926e-01,35.675913821734,human lifetime / generational scale
120,158.691666666667,16,2*2*2*3*5,1x120; 2x60; 3x40; 4x30; 5x24; 6x20; 8x15; 10x12,4.434015368157e+00,416.966392435724,human lifetime / generational scale
121,157.380165289256,3,11*11,1x121; 11x11,8.793373012071e-01,27.085127835453,human lifetime / generational scale
122,156.090163934426,4,2*61,1x122; 2x61,5.467048917914e-01,29.772116330626,human lifetime / generational scale
123,154.821138211382,4,3*41,1x123; 3x41,6.725239648597e-01,32.248145743383,human lifetime / generational scale
124,153.572580645161,6,2*2*31,1x124; 2x62; 4x31,1.127803217187e+00,61.642209022916,human lifetime / generational scale
125,152.344000000000,4,5*5*5,1x125; 5x25,7.886999604581e-01,34.602629022914,human lifetime / generational scale
126,151.134920634921,12,2*3*3*7,1x126; 2x63; 3x42; 6x21; 7x18; 9x14,3.097657859910e+00,238.197855476424,human lifetime / generational scale
127,149.944881889764,2,127,1x127,1.466069621304e-01,11.126743362155,human lifetime / generational scale
128,148.773437500000,8,2*2*2*2*2*2*2,1x128; 2x64; 4x32; 8x16,1.796425538291e+00,108.720828150868,human lifetime / generational scale
129,147.620155038760,4,3*43,1x129; 3x43,6.438501406526e-01,32.005988764051,human lifetime / generational scale
130,146.484615384615,8,2*5*13,1x130; 2x65; 5x26; 10x13,1.842555980077e+00,110.864170440977,human lifetime / generational scale
131,145.366412213740,2,131,1x131,1.380692373109e-01,11.113933319956,human lifetime / generational scale
132,144.265151515152,12,2*2*3*11,1x132; 2x66; 3x44; 4x33; 6x22; 11x12,2.930056603075e+00,230.632186592541,human lifetime / generational scale
133,143.180451127820,4,7*19,1x133; 7x19,8.110455491670e-01,35.480843880936,human lifetime / generational scale
134,142.111940298507,4,2*67,1x134; 2x67,4.872202241128e-01,29.180895421296,human lifetime / generational scale
135,141.059259259259,8,3*3*3*5,1x135; 3x45; 5x27; 9x15,1.933240684716e+00,115.279993446462,human lifetime / generational scale
136,140.022058823529,8,2*2*2*17,1x136; 2x68; 4x34; 8x17,1.730845302179e+00,107.485654384872,human lifetime / generational scale
137,139.000000000000,2,137,1x137,1.261857817050e-01,11.098006086156,human lifetime / generational scale
138,137.992753623188,8,2*3*23,1x138; 2x69; 3x46; 6x23,1.595805100986e+00,102.471460850422,human lifetime / generational scale
139,137.000000000000,2,139,1x139,1.224564282530e-01,11.093556606771,human lifetime / generational scale
140,136.021428571429,12,2*2*5*7,1x140; 2x70; 4x35; 5x28; 7x20; 10x14,2.991558721236e+00,237.039188396908,human lifetime / generational scale
141,135.056737588652,4,3*47,1x141; 3x47,5.912038465934e-01,31.542924308428,human lifetime / generational scale
142,134.105633802817,4,2*71,1x142; 2x71,4.516076439927e-01,28.816412804934,human lifetime / generational scale
143,133.167832167832,4,11*13,1x143; 11x13,8.130014471091e-01,36.041114815973,human lifetime / generational scale
144,132.243055555556,15,2*2*2*2*3*3,1x144; 2x72; 3x48; 4x36; 6x24; 8x18; 9x16; 12x12,4.156963312796e+00,384.972499908270,human lifetime / generational scale
145,131.331034482759,4,5*29,1x145; 5x29,7.124123274296e-01,34.135957656292,human lifetime / generational scale
146,130.431506849315,4,2*73,1x146; 2x73,4.349029926628e-01,28.643146613804,human lifetime / generational scale
147,129.544217687075,6,3*7*7,1x147; 3x49; 7x21,1.224061939945e+00,66.684657743436,human lifetime / generational scale
148,128.668918918919,6,2*2*37,1x148; 2x74; 4x37,9.674520469787e-01,59.070146415624,human lifetime / generational scale
149,127.805369127517,2,149,1x149,1.053992245619e-01,11.077504737313,human lifetime / generational scale
150,126.953333333333,12,2*3*5*5,1x150; 2x75; 3x50; 5x30; 6x25; 10x15,2.777448554714e+00,227.430197618081,human lifetime / generational scale
151,126.112582781457,2,151,1x151,1.022842067155e-01,11.075488309109,human lifetime / generational scale
152,125.282894736842,8,2*2*2*19,1x152; 2x76; 4x38; 8x19,1.610696946399e+00,105.063591363438,human lifetime / generational scale
153,124.464052287582,6,3*3*17,1x153; 3x51; 9x17,1.221176192281e+00,67.127755212766,human lifetime / generational scale
154,123.655844155844,8,2*7*11,1x154; 2x77; 7x22; 11x14,1.738083569419e+00,110.474555569856,human lifetime / generational scale
155,122.858064516129,4,5*31,1x155; 5x31,6.790758906045e-01,33.916365891188,human lifetime / generational scale
156,122.070512820513,12,2*2*3*13,1x156; 2x78; 3x52; 4x39; 6x26; 12x13,2.665057923615e+00,222.377205031672,human lifetime / generational scale
157,121.292993630573,2,157,1x157,9.348072627806e-02,11.071700187132,human lifetime / generational scale
158,120.525316455696,4,2*79,1x158; 2x79,3.887989938733e-01,28.158756224335,human lifetime / generational scale
159,119.767295597484,4,3*53,1x159; 3x53,5.224284767185e-01,30.906356562432,human lifetime / generational scale
160,119.018750000000,12,2*2*2*2*2*5,1x160; 2x80; 4x40; 5x32; 8x20; 10x16,2.806687206604e+00,232.119803853215,human lifetime / generational scale
161,118.279503105590,4,7*23,1x161; 7x23,7.256649842041e-01,35.117947397903,human lifetime / generational scale
162,117.549382716049,10,2*3*3*3*3,1x162; 2x81; 3x54; 6x27; 9x18,2.076497952270e+00,156.709120621547,human lifetime / generational scale
163,116.828220858896,2,163,1x163,8.543495096732e-02,11.071146532050,human lifetime / generational scale
164,116.115853658537,6,2*2*41,1x164; 2x82; 4x41,8.769734373646e-01,57.502344162861,human lifetime / generational scale
165,115.412121212121,8,3*5*11,1x165; 3x55; 5x33; 11x15,1.744443829021e+00,112.236506718267,human lifetime / generational scale
166,114.716867469880,4,2*83,1x166; 2x83,3.611065662067e-01,27.864539935543,human lifetime / generational scale
167,114.029940119760,2,167,1x167,8.045960674953e-02,11.072472212370,human lifetime / generational scale
168,113.351190476190,16,2*2*2*3*7,1x168; 2x84; 3x56; 4x42; 6x28; 7x24; 8x21; 12x14,3.821774970278e+00,395.763475578813,human lifetime / generational scale
169,112.680473372781,3,13*13,1x169; 13x13,7.551385404993e-01,27.042113319309,human lifetime / generational scale
170,112.017647058824,8,2*5*17,1x170; 2x85; 5x34; 10x17,1.572174389158e+00,105.802042541629,human lifetime / generational scale
171,111.362573099415,6,3*3*19,1x171; 3x57; 9x19,1.139390483579e+00,66.075004187806,human lifetime / generational scale
172,110.715116279070,6,2*2*43,1x172; 2x86; 4x43,8.358897522964e-01,56.765251373603,human lifetime / generational scale
173,110.075144508671,2,173,1x173,7.353454376306e-02,11.076848153781,human lifetime / generational scale
174,109.442528735632,8,2*3*29,1x174; 2x87; 3x58; 6x29,1.327669922948e+00,96.175335759720,human lifetime / generational scale
175,108.817142857143,6,5*5*7,1x175; 5x35; 7x25,1.238956297457e+00,69.458926209534,human lifetime / generational scale
176,108.198863636364,10,2*2*2*2*11,1x176; 2x88; 4x44; 8x22; 11x16,2.120896317751e+00,161.542266405192,human lifetime / generational scale
177,107.587570621469,4,3*59,1x177; 3x59,4.638059356809e-01,30.340502073326,human lifetime / generational scale
178,106.983146067416,4,2*89,1x178; 2x89,3.236018699844e-01,27.464134211765,human lifetime / generational scale
179,106.385474860335,2,179,1x179,6.720551273975e-02,11.083904357379,human lifetime / generational scale
180,105.794444444444,18,2*2*3*3*5,1x180; 2x90; 3x60; 4x45; 5x36; 6x30; 9x20; 10x18; 12x15,4.280645981378e+00,494.125604232501,human lifetime / generational scale
181,105.209944751381,2,181,1x181,6.521928966813e-02,11.086816613272,human lifetime / generational scale
182,104.631868131868,8,2*7*13,1x182; 2x91; 7x26; 13x14,1.588629055467e+00,107.883417754366,human lifetime / generational scale
183,104.060109289617,4,3*61,1x183; 3x61,4.461846543348e-01,30.167040263983,human lifetime / generational scale
184,103.494565217391,8,2*2*2*23,1x184; 2x92; 4x46; 8x23,1.406994417774e+00,100.522938638050,human lifetime / generational scale
185,102.935135135135,4,5*37,1x185; 5x37,5.940130149219e-01,33.319632842335,human lifetime / generational scale
186,102.381720430108,8,2*3*31,1x186; 2x93; 3x62; 6x31,1.252279849141e+00,94.255364211255,human lifetime / generational scale
187,101.834224598930,4,11*17,1x187; 11x17,7.166527625240e-01,35.956610245154,human lifetime / generational scale
188,101.292553191489,6,2*2*47,1x188; 2x94; 4x47,7.609802154903e-01,55.383676728752,human lifetime / generational scale
189,100.756613756614,8,3*3*3*7,1x189; 3x63; 7x27; 9x21,1.667544742331e+00,111.973371812604,human lifetime / generational scale
190,100.226315789474,8,2*5*19,1x190; 2x95; 5x38; 10x19,1.462310704218e+00,103.461832666864,human lifetime / generational scale
191,99.701570680628,2,191,1x191,5.613476283413e-02,11.105247255676,human lifetime / generational scale
192,99.182291666667,14,2*2*2*2*2*2*3,1x192; 2x96; 3x64; 4x48; 6x32; 8x24; 12x16,2.951030806711e+00,291.102714875574,human lifetime / generational scale
193,98.668393782383,2,193,1x193,5.447572986919e-02,11.109657154251,human lifetime / generational scale
194,98.159793814433,4,2*97,1x194; 2x97,2.801670325892e-01,27.001280790923,human lifetime / generational scale
195,97.656410256410,8,3*5*13,1x195; 3x65; 5x39; 13x15,1.587358823218e+00,109.251012268139,human lifetime / generational scale
196,97.158163265306,9,2*2*7*7,1x196; 2x98; 4x49; 7x28; 14x14,1.975392239829e+00,141.476430383297,human lifetime / generational scale
197,96.664974619289,2,197,1x197,5.130331033192e-02,11.119145270577,human lifetime / generational scale
198,96.176767676768,12,2*3*3*11,1x198; 2x99; 3x66; 6x33; 9x22; 11x18,2.458079703402e+00,219.656039739577,human lifetime / generational scale
199,95.693467336683,2,199,1x199,4.978706836786e-02,11.124210111022,human lifetime / generational scale
200,95.215000000000,12,2*2*2*5*5,1x200; 2x100; 4x50; 5x40; 8x25; 10x20,2.466795048552e+00,220.625654354623,human lifetime / generational scale
201,94.741293532338,4,3*67,1x201; 3x67,3.982533872372e-01,29.689213153013,human lifetime / generational scale
202,94.272277227723,4,2*101,1x202; 2x101,2.609081832104e-01,26.797859592226,human lifetime / generational scale
203,93.807881773399,4,7*29,1x203; 7x29,6.296359475940e-01,34.666398062347,human lifetime / generational scale
204,93.348039215686,12,2*2*3*17,1x204; 2x102; 3x68; 4x51; 6x34; 12x17,2.235364849987e+00,206.662552591593,human lifetime / generational scale
205,92.892682926829,4,5*41,1x205; 5x41,5.470780234707e-01,32.970560530030,human lifetime / generational scale
206,92.441747572816,4,2*103,1x206; 2x103,2.518320712404e-01,26.702673649264,human lifetime / generational scale
207,91.995169082126,6,3*3*23,1x207; 3x69; 9x23,1.002536085871e+00,64.131675685868,human lifetime / generational scale
208,91.552884615385,10,2*2*2*2*13,1x208; 2x104; 4x52; 8x26; 13x16,1.926896134883e+00,156.364574733283,human lifetime / generational scale
209,91.114832535885,4,11*19,1x209; 11x19,6.804802784888e-01,35.942835009319,human lifetime / generational scale
210,90.680952380952,16,2*3*5*7,1x210; 2x105; 3x70; 5x42; 6x35; 7x30; 10x21; 14x15,3.461864806703e+00,382.068279299544,human lifetime / generational scale
211,90.251184834123,2,211,1x211,4.158565512117e-02,11.158686848235,human lifetime / generational scale
212,89.825471698113,6,2*2*53,1x212; 2x106; 4x53,6.641484155420e-01,53.531915176938,human lifetime / generational scale
213,89.403755868545,4,3*71,1x213; 3x71,3.699155743472e-01,29.403736458208,human lifetime / generational scale
214,88.985981308411,4,2*107,1x214; 2x107,2.347081528754e-01,26.524682237888,human lifetime / generational scale
215,88.572093023256,4,5*43,1x215; 5x43,5.259161510590e-01,32.808896554895,human lifetime / generational scale
216,88.162037037037,16,2*2*2*3*3*3,1x216; 2x108; 3x72; 4x54; 6x36; 8x27; 9x24; 12x18,3.345580970182e+00,374.060472977239,human lifetime / generational scale
217,87.755760368664,4,7*31,1x217; 7x31,6.035318657747e-01,34.536837657156,human lifetime / generational scale
218,87.353211009174,4,2*109,1x218; 2x109,2.266312430754e-01,26.441615019869,human lifetime / generational scale
219,86.954337899543,4,3*73,1x219; 3x73,3.567021892175e-01,29.270185199841,human lifetime / generational scale
220,86.559090909091,12,2*2*5*11,1x220; 2x110; 4x55; 5x44; 10x22; 11x20,2.361846153866e+00,217.773510192515,human lifetime / generational scale
221,86.167420814480,4,13*17,1x221; 13x17,6.734212566894e-01,36.163820695441,human lifetime / generational scale
222,85.779279279279,8,2*3*37,1x222; 2x111; 3x74; 6x37,1.058579523195e+00,89.048744697021,human lifetime / generational scale
223,85.394618834081,2,223,1x223,3.473525894474e-02,11.199241957567,human lifetime / generational scale
224,85.013392857143,12,2*2*2*2*2*7,1x224; 2x112; 4x56; 7x32; 8x28; 14x16,2.399135836477e+00,220.920731653108,human lifetime / generational scale
225,84.635555555556,9,3*3*5*5,1x225; 3x75; 5x45; 9x25; 15x15,2.054565901340e+00,149.016432382180,human lifetime / generational scale
226,84.261061946903,4,2*113,1x226; 2x113,2.113798718549e-01,26.286701027983,human lifetime / generational scale
227,83.889867841410,2,227,1x227,3.271243493902e-02,11.213905489206,human lifetime / generational scale
228,83.521929824561,12,2*2*3*19,1x228; 2x114; 3x76; 4x57; 6x38; 12x19,2.058995056120e+00,199.460744942420,human lifetime / generational scale
229,83.157205240175,2,229,1x229,3.174563637807e-02,11.221429194519,human lifetime / generational scale
230,82.795652173913,8,2*5*23,1x230; 2x115; 5x46; 10x23,1.279085085989e+00,99.229864286167,human lifetime / generational scale
231,82.437229437229,8,3*7*11,1x231; 3x77; 7x33; 11x21,1.499596650845e+00,108.917171938000,human lifetime / generational scale
232,82.081896551724,8,2*2*2*29,1x232; 2x116; 4x58; 8x29,1.169307708830e+00,94.599837907594,human lifetime / generational scale
233,81.729613733906,2,233,1x233,2.989691443693e-02,11.236836767939,human lifetime / generational scale
234,81.380341880342,12,2*3*3*13,1x234; 2x117; 3x78; 6x39; 9x26; 13x18,2.222805772827e+00,211.142204546740,human lifetime / generational scale
235,81.034042553191,4,5*47,1x235; 5x47,4.874193383874e-01,32.508036353965,human lifetime / generational scale
236,80.690677966102,6,2*2*59,1x236; 2x118; 4x59,5.825598340396e-01,51.921194096841,human lifetime / generational scale
237,80.350210970464,4,3*79,1x237; 3x79,3.204484313612e-01,28.903404908133,human lifetime / generational scale
238,80.012605042017,8,2*7*17,1x238; 2x119; 7x34; 14x17,1.359350576519e+00,103.367179508294,human lifetime / generational scale
239,79.677824267782,2,239,1x239,2.732372244729e-02,11.260780760234,social-generation scale
